"cluster_id","cluster_type","elderly_id","volunteer_id"
87,"Rural Transportation",371,714
88,"Urban Grocery",213,745
89,"Rural Transportation",912,681
90,"Urban Grocery",614,360
91,"Urban Grocery",306,305
92,"Urban Grocery",307,123
93,"Urban Grocery",95,883
94,"Urban Grocery",968,296
95,"Urban Grocery",613,95
96,"Rural Transportation",656,288
97,"Urban Grocery",253,68
98,"Rural Transportation",831,251
99,"Urban Grocery",735,163
100,"Rural Transportation",36,936
101,"Urban Grocery",126,616
102,"Urban Grocery",461,105
103,"Rural Transportation",406,50
104,"Rural Transportation",266,447
105,"Rural Transportation",592,914
106,"Urban Grocery",166,90
107,"Rural Transportation",197,484
108,"Urban Grocery",874,837
109,"Urban Grocery",144,959
110,"Rural Transportation",57,586
111,"Rural Transportation",15,122
112,"Rural Transportation",513,578
113,"Rural Transportation",582,416
114,"Rural Transportation",427,637
115,"Urban Grocery",579,503
116,"Urban Grocery",778,463
117,"Urban Grocery",570,987
118,"Urban Grocery",714,826
119,"Urban Grocery",624,439
120,"Rural Transportation",875,983
121,"Urban Grocery",215,733
122,"Rural Transportation",390,8
123,"Rural Transportation",212,608
124,"Urban Grocery",834,705
125,"Urban Grocery",895,912
126,"Urban Grocery",105,358
127,"Rural Transportation",365,19
128,"Urban Grocery",512,552
129,"Urban Grocery",229,805
130,"Rural Transportation",703,579
131,"Urban Grocery",276,218
132,"Rural Transportation",519,789
133,"Rural Transportation",293,607
134,"Urban Grocery",568,785
135,"Urban Grocery",320,767
136,"Rural Transportation",932,853
137,"Urban Grocery",899,750
138,"Urban Grocery",153,738
139,"Urban Grocery",828,812
140,"Urban Grocery",2,897
141,"Rural Transportation",155,88
142,"Rural Transportation",146,527
143,"Urban Grocery",794,738
144,"Rural Transportation",799,316
145,"Urban Grocery",593,812
146,"Rural Transportation",85,729
147,"Urban Grocery",927,709
148,"Rural Transportation",427,406
149,"Urban Grocery",26,927
150,"Rural Transportation",508,185
151,"Rural Transportation",558,22
152,"Rural Transportation",220,221
153,"Urban Grocery",945,503
154,"Rural Transportation",108,87
155,"Urban Grocery",833,718
156,"Rural Transportation",831,354
157,"Urban Grocery",274,850
158,"Rural Transportation",451,172
159,"Urban Grocery",519,841
160,"Rural Transportation",631,605
161,"Rural Transportation",35,883
162,"Urban Grocery",106,656
163,"Urban Grocery",633,430
164,"Urban Grocery",148,776
165,"Urban Grocery",421,791
166,"Rural Transportation",474,922
167,"Urban Grocery",658,295
168,"Urban Grocery",424,486
169,"Rural Transportation",214,722
170,"Urban Grocery",858,324
171,"Urban Grocery",792,126
172,"Urban Grocery",846,715
173,"Rural Transportation",730,332
174,"Urban Grocery",10,666
175,"Urban Grocery",378,659
176,"Urban Grocery",333,639
177,"Rural Transportation",102,144
178,"Rural Transportation",695,638
179,"Urban Grocery",810,693
180,"Urban Grocery",890,706
181,"Urban Grocery",140,537
182,"Rural Transportation",549,677
183,"Urban Grocery",483,801
184,"Urban Grocery",841,698
185,"Rural Transportation",485,827
186,"Urban Grocery",840,528
187,"Urban Grocery",43,940
188,"Rural Transportation",1,959
189,"Rural Transportation",845,794
190,"Rural Transportation",824,818
191,"Rural Transportation",595,331
192,"Urban Grocery",476,572
193,"Rural Transportation",177,166
194,"Rural Transportation",680,945
195,"Urban Grocery",702,363
196,"Rural Transportation",589,977
197,"Urban Grocery",997,699
198,"Urban Grocery",424,808
199,"Rural Transportation",640,825
200,"Urban Grocery",687,418
201,"Urban Grocery",562,934
202,"Urban Grocery",497,918
203,"Rural Transportation",345,493
204,"Rural Transportation",546,83
205,"Rural Transportation",204,847
206,"Rural Transportation",376,780
207,"Urban Grocery",304,59
208,"Urban Grocery",553,965
209,"Urban Grocery",529,926
210,"Urban Grocery",232,917
211,"Rural Transportation",126,853
212,"Rural Transportation",124,698
213,"Rural Transportation",115,28
214,"Rural Transportation",14,158
215,"Urban Grocery",110,738
216,"Rural Transportation",310,540
217,"Rural Transportation",1000,738
218,"Urban Grocery",128,711
219,"Urban Grocery",651,898
220,"Urban Grocery",678,537
221,"Urban Grocery",787,222
222,"Rural Transportation",483,738
223,"Rural Transportation",305,971
224,"Rural Transportation",256,475
225,"Urban Grocery",596,77
226,"Rural Transportation",737,488
227,"Urban Grocery",872,962
228,"Rural Transportation",80,606
229,"Urban Grocery",523,226
230,"Urban Grocery",375,486
231,"Rural Transportation",81,135
232,"Rural Transportation",56,490
233,"Urban Grocery",770,101
234,"Urban Grocery",532,297
235,"Rural Transportation",682,188
236,"Rural Transportation",681,521
237,"Rural Transportation",156,34
238,"Urban Grocery",276,715
239,"Rural Transportation",847,174
240,"Rural Transportation",84,20
241,"Rural Transportation",197,397
242,"Urban Grocery",103,897
243,"Rural Transportation",997,688
244,"Urban Grocery",828,389
245,"Urban Grocery",740,507
246,"Rural Transportation",922,350
247,"Rural Transportation",291,610
248,"Urban Grocery",802,879
249,"Rural Transportation",253,121
250,"Rural Transportation",599,781
251,"Rural Transportation",527,131
252,"Urban Grocery",249,597
253,"Urban Grocery",935,68
254,"Rural Transportation",360,658
255,"Urban Grocery",127,743
256,"Urban Grocery",194,436
257,"Rural Transportation",196,679
258,"Rural Transportation",869,841
259,"Rural Transportation",964,508
260,"Rural Transportation",44,337
261,"Rural Transportation",98,162
262,"Urban Grocery",423,898
263,"Urban Grocery",14,177
264,"Urban Grocery",341,657
265,"Urban Grocery",224,914
266,"Rural Transportation",360,746
267,"Rural Transportation",900,512
268,"Urban Grocery",28,707
269,"Urban Grocery",831,637
270,"Urban Grocery",291,797
271,"Urban Grocery",747,361
272,"Urban Grocery",777,880
273,"Rural Transportation",886,69
274,"Urban Grocery",496,704
275,"Rural Transportation",664,572
276,"Rural Transportation",653,632
277,"Rural Transportation",881,940
278,"Rural Transportation",609,315
279,"Urban Grocery",75,773
280,"Rural Transportation",482,87
281,"Urban Grocery",858,70
282,"Urban Grocery",47,577
283,"Rural Transportation",417,85
284,"Rural Transportation",725,145
285,"Rural Transportation",694,51
286,"Urban Grocery",184,280
287,"Rural Transportation",336,112
288,"Urban Grocery",349,222
289,"Rural Transportation",51,387
290,"Urban Grocery",615,943
291,"Rural Transportation",104,160
292,"Urban Grocery",828,274
293,"Urban Grocery",888,176
294,"Rural Transportation",114,781
295,"Rural Transportation",559,645
296,"Urban Grocery",582,627
297,"Urban Grocery",818,353
298,"Rural Transportation",343,126
299,"Urban Grocery",742,117
300,"Urban Grocery",54,92
301,"Urban Grocery",65,274
302,"Urban Grocery",251,928
303,"Rural Transportation",391,820
304,"Rural Transportation",250,663
305,"Rural Transportation",435,803
306,"Urban Grocery",55,188
307,"Urban Grocery",414,244
308,"Urban Grocery",517,745
309,"Urban Grocery",256,156
310,"Rural Transportation",295,730
311,"Rural Transportation",854,329
312,"Rural Transportation",456,768
313,"Rural Transportation",29,585
314,"Rural Transportation",620,919
315,"Rural Transportation",533,294
316,"Rural Transportation",921,479
317,"Rural Transportation",409,477
318,"Rural Transportation",263,896
319,"Urban Grocery",682,547
320,"Rural Transportation",735,921
321,"Rural Transportation",138,371
322,"Rural Transportation",163,346
323,"Rural Transportation",219,384
324,"Urban Grocery",349,258
325,"Rural Transportation",997,495
326,"Urban Grocery",554,290
327,"Urban Grocery",58,337
328,"Rural Transportation",529,194
329,"Urban Grocery",490,182
330,"Rural Transportation",357,345
331,"Urban Grocery",214,811
332,"Rural Transportation",612,470
333,"Urban Grocery",176,766
334,"Rural Transportation",847,734
335,"Rural Transportation",295,138
336,"Urban Grocery",281,752
337,"Rural Transportation",263,787
338,"Rural Transportation",126,615
339,"Urban Grocery",969,190
340,"Urban Grocery",92,22
341,"Urban Grocery",929,167
342,"Rural Transportation",189,303
343,"Urban Grocery",828,585
344,"Rural Transportation",258,384
345,"Rural Transportation",544,355
346,"Rural Transportation",783,73
347,"Urban Grocery",349,99
348,"Rural Transportation",974,520
349,"Urban Grocery",994,235
350,"Urban Grocery",881,238
351,"Rural Transportation",468,423
352,"Urban Grocery",192,357
353,"Urban Grocery",635,280
354,"Urban Grocery",27,493
355,"Urban Grocery",716,922
356,"Urban Grocery",9,218
357,"Urban Grocery",744,24
358,"Urban Grocery",784,724
359,"Rural Transportation",345,536
360,"Urban Grocery",303,569
361,"Urban Grocery",174,625
362,"Rural Transportation",194,777
363,"Rural Transportation",711,449
364,"Rural Transportation",948,746
365,"Urban Grocery",571,656
366,"Rural Transportation",310,894
367,"Urban Grocery",484,191
368,"Rural Transportation",822,345
369,"Rural Transportation",883,352
370,"Urban Grocery",614,608
371,"Urban Grocery",628,705
372,"Rural Transportation",639,405
373,"Rural Transportation",567,471
374,"Rural Transportation",327,224
375,"Urban Grocery",254,991
376,"Rural Transportation",631,89
377,"Rural Transportation",989,179
378,"Urban Grocery",108,742
379,"Rural Transportation",760,852
380,"Urban Grocery",89,352
381,"Urban Grocery",251,543
382,"Urban Grocery",383,131
383,"Urban Grocery",257,863
384,"Rural Transportation",746,812
385,"Urban Grocery",975,899
386,"Rural Transportation",695,259
387,"Rural Transportation",253,856
388,"Rural Transportation",585,162
389,"Rural Transportation",658,750
390,"Rural Transportation",83,719
391,"Rural Transportation",952,817
392,"Urban Grocery",629,499
393,"Rural Transportation",363,275
394,"Rural Transportation",355,915
395,"Rural Transportation",448,246
396,"Rural Transportation",631,111
397,"Rural Transportation",750,729
398,"Urban Grocery",281,991
399,"Urban Grocery",811,292
400,"Urban Grocery",169,164
401,"Rural Transportation",33,914
402,"Rural Transportation",869,341
403,"Urban Grocery",524,283
404,"Rural Transportation",70,1000
405,"Urban Grocery",599,977
406,"Rural Transportation",574,992
407,"Rural Transportation",931,641
408,"Rural Transportation",628,843
409,"Rural Transportation",726,178
410,"Rural Transportation",168,624
411,"Rural Transportation",536,92
412,"Urban Grocery",905,381
413,"Rural Transportation",455,75
414,"Urban Grocery",525,587
415,"Rural Transportation",193,682
416,"Rural Transportation",614,657
417,"Urban Grocery",632,36
418,"Urban Grocery",921,971
419,"Urban Grocery",358,338
420,"Urban Grocery",728,286
421,"Urban Grocery",302,38
422,"Rural Transportation",548,887
423,"Rural Transportation",793,482
424,"Urban Grocery",738,571
425,"Urban Grocery",83,69
426,"Rural Transportation",247,373
427,"Urban Grocery",889,315
428,"Rural Transportation",7,57
429,"Rural Transportation",185,101
430,"Urban Grocery",909,453
431,"Rural Transportation",508,528
432,"Urban Grocery",115,245
433,"Urban Grocery",892,289
434,"Urban Grocery",78,316
435,"Urban Grocery",697,14
436,"Urban Grocery",240,658
437,"Rural Transportation",589,413
438,"Urban Grocery",4,606
439,"Rural Transportation",760,678
440,"Rural Transportation",1,150
441,"Urban Grocery",494,419
442,"Rural Transportation",191,907
443,"Rural Transportation",189,758
444,"Urban Grocery",709,165
445,"Rural Transportation",797,821
446,"Urban Grocery",112,657
447,"Rural Transportation",918,32
448,"Rural Transportation",429,920
449,"Urban Grocery",204,611
450,"Rural Transportation",699,312
451,"Urban Grocery",873,623
452,"Urban Grocery",793,407
453,"Rural Transportation",289,77
454,"Urban Grocery",759,966
455,"Rural Transportation",38,304
456,"Rural Transportation",799,917
457,"Rural Transportation",370,168
458,"Urban Grocery",832,649
459,"Rural Transportation",683,770
460,"Urban Grocery",798,703
461,"Rural Transportation",657,480
462,"Rural Transportation",32,215
463,"Rural Transportation",764,242
464,"Rural Transportation",9,417
465,"Rural Transportation",635,144
466,"Urban Grocery",695,258
467,"Urban Grocery",316,193
468,"Rural Transportation",470,917
469,"Urban Grocery",429,897
470,"Urban Grocery",16,176
471,"Urban Grocery",971,507
472,"Rural Transportation",728,76
473,"Rural Transportation",601,892
474,"Rural Transportation",514,643
475,"Urban Grocery",383,202
476,"Urban Grocery",538,649
477,"Rural Transportation",926,470
478,"Urban Grocery",174,618
479,"Rural Transportation",817,786
480,"Urban Grocery",745,412
481,"Rural Transportation",407,108
482,"Rural Transportation",483,532
483,"Urban Grocery",572,704
484,"Rural Transportation",157,658
485,"Urban Grocery",251,808
486,"Urban Grocery",6,411
487,"Rural Transportation",747,250
488,"Urban Grocery",202,409
489,"Rural Transportation",472,446
490,"Rural Transportation",606,654
491,"Rural Transportation",352,527
492,"Urban Grocery",872,759
493,"Rural Transportation",588,303
494,"Urban Grocery",818,860
495,"Urban Grocery",252,267
496,"Rural Transportation",258,542
497,"Rural Transportation",895,254
498,"Urban Grocery",385,49
499,"Urban Grocery",404,984
500,"Urban Grocery",765,609
501,"Urban Grocery",144,182
502,"Rural Transportation",651,102
503,"Urban Grocery",742,246
504,"Urban Grocery",860,793
505,"Rural Transportation",818,48
506,"Urban Grocery",347,200
507,"Rural Transportation",473,935
508,"Rural Transportation",481,447
509,"Urban Grocery",6,719
510,"Rural Transportation",64,857
511,"Rural Transportation",781,562
512,"Urban Grocery",558,273
513,"Urban Grocery",216,504
514,"Urban Grocery",703,247
515,"Rural Transportation",743,572
516,"Rural Transportation",890,24
517,"Urban Grocery",538,461
518,"Rural Transportation",44,438
519,"Urban Grocery",332,54
520,"Urban Grocery",823,754
521,"Urban Grocery",46,670
522,"Rural Transportation",71,273
523,"Rural Transportation",286,25
524,"Urban Grocery",837,910
525,"Urban Grocery",83,543
526,"Rural Transportation",293,137
527,"Urban Grocery",435,408
528,"Rural Transportation",361,908
529,"Rural Transportation",741,638
530,"Urban Grocery",722,432
531,"Rural Transportation",48,502
532,"Rural Transportation",928,920
533,"Rural Transportation",367,532
534,"Rural Transportation",714,730
535,"Urban Grocery",255,338
536,"Rural Transportation",759,570
537,"Urban Grocery",854,285
538,"Urban Grocery",391,630
539,"Rural Transportation",414,497
540,"Rural Transportation",206,393
541,"Rural Transportation",106,727
542,"Rural Transportation",777,546
543,"Urban Grocery",568,153
544,"Urban Grocery",78,996
545,"Urban Grocery",917,29
546,"Rural Transportation",613,225
547,"Rural Transportation",362,58
548,"Urban Grocery",850,309
549,"Urban Grocery",875,173
550,"Urban Grocery",493,195
551,"Urban Grocery",853,745
552,"Rural Transportation",48,933
553,"Rural Transportation",303,613
554,"Urban Grocery",681,680
555,"Urban Grocery",854,798
556,"Rural Transportation",513,205
557,"Rural Transportation",591,815
558,"Urban Grocery",776,290
559,"Urban Grocery",437,843
560,"Rural Transportation",566,553
561,"Rural Transportation",318,487
562,"Urban Grocery",28,386
563,"Rural Transportation",930,280
564,"Rural Transportation",462,456
565,"Urban Grocery",462,251
566,"Urban Grocery",937,138
567,"Rural Transportation",522,265
568,"Urban Grocery",538,145
569,"Rural Transportation",964,331
570,"Urban Grocery",651,923
571,"Urban Grocery",376,516
572,"Urban Grocery",978,264
573,"Urban Grocery",539,662
574,"Urban Grocery",35,4
575,"Rural Transportation",16,540
576,"Urban Grocery",261,310
577,"Urban Grocery",238,581
578,"Rural Transportation",357,671
579,"Urban Grocery",719,238
580,"Urban Grocery",822,384
581,"Rural Transportation",204,432
582,"Urban Grocery",410,473
583,"Urban Grocery",418,374
584,"Urban Grocery",992,435
585,"Urban Grocery",732,838
586,"Rural Transportation",455,359
587,"Rural Transportation",599,383
588,"Urban Grocery",266,566
589,"Rural Transportation",367,825
590,"Rural Transportation",110,649
591,"Rural Transportation",183,584
592,"Urban Grocery",473,767
593,"Rural Transportation",146,893
594,"Rural Transportation",890,790
595,"Rural Transportation",885,719
596,"Urban Grocery",484,235
597,"Urban Grocery",564,379
598,"Urban Grocery",449,108
599,"Urban Grocery",154,169
600,"Rural Transportation",891,6
601,"Urban Grocery",303,961
602,"Rural Transportation",73,607
603,"Urban Grocery",152,584
604,"Urban Grocery",100,199
605,"Rural Transportation",609,40
606,"Rural Transportation",585,693
607,"Urban Grocery",90,11
608,"Rural Transportation",768,278
609,"Urban Grocery",61,170
610,"Urban Grocery",929,780
611,"Rural Transportation",476,668
612,"Rural Transportation",760,187
613,"Urban Grocery",745,339
614,"Rural Transportation",978,737
615,"Urban Grocery",799,801
616,"Rural Transportation",451,966
617,"Urban Grocery",837,803
618,"Rural Transportation",926,891
619,"Urban Grocery",977,689
620,"Urban Grocery",89,786
621,"Urban Grocery",884,109
622,"Rural Transportation",23,34
623,"Urban Grocery",49,96
624,"Urban Grocery",368,190
625,"Urban Grocery",369,814
626,"Rural Transportation",264,4
627,"Urban Grocery",97,516
628,"Urban Grocery",198,424
629,"Urban Grocery",627,808
630,"Urban Grocery",402,126
631,"Rural Transportation",268,136
632,"Urban Grocery",622,634
633,"Urban Grocery",681,870
634,"Rural Transportation",452,654
635,"Rural Transportation",669,236
636,"Rural Transportation",726,813
637,"Urban Grocery",673,743
638,"Urban Grocery",222,784
639,"Rural Transportation",175,504
640,"Rural Transportation",843,981
641,"Urban Grocery",224,14
642,"Urban Grocery",667,856
643,"Urban Grocery",539,748
644,"Urban Grocery",597,444
645,"Urban Grocery",431,118
646,"Urban Grocery",958,197
647,"Rural Transportation",135,27
648,"Rural Transportation",211,745
649,"Rural Transportation",255,883
650,"Rural Transportation",475,98
651,"Rural Transportation",752,691
652,"Rural Transportation",131,836
653,"Urban Grocery",834,229
654,"Urban Grocery",180,508
655,"Rural Transportation",251,659
656,"Urban Grocery",958,647
657,"Rural Transportation",977,943
658,"Rural Transportation",297,705
659,"Urban Grocery",432,185
660,"Rural Transportation",133,145
661,"Urban Grocery",573,551
662,"Urban Grocery",462,756
663,"Rural Transportation",190,729
664,"Urban Grocery",665,356
665,"Rural Transportation",788,552
666,"Urban Grocery",641,449
667,"Rural Transportation",292,342
668,"Rural Transportation",558,135
669,"Rural Transportation",94,796
670,"Urban Grocery",386,319
671,"Rural Transportation",947,929
672,"Urban Grocery",801,83
673,"Rural Transportation",444,105
674,"Rural Transportation",409,602
675,"Urban Grocery",541,937
676,"Urban Grocery",964,982
677,"Rural Transportation",342,761
678,"Rural Transportation",948,597
679,"Rural Transportation",135,665
680,"Rural Transportation",949,926
681,"Rural Transportation",244,706
682,"Rural Transportation",391,160
683,"Rural Transportation",560,896
684,"Rural Transportation",954,476
685,"Rural Transportation",843,581
686,"Urban Grocery",548,802
687,"Urban Grocery",440,106
688,"Urban Grocery",358,803
689,"Rural Transportation",113,448
690,"Urban Grocery",17,609
691,"Rural Transportation",176,896
692,"Rural Transportation",175,171
693,"Rural Transportation",514,21
694,"Rural Transportation",554,791
695,"Rural Transportation",245,321
696,"Urban Grocery",372,947
697,"Urban Grocery",288,818
698,"Urban Grocery",483,258
699,"Rural Transportation",516,659
700,"Rural Transportation",273,264
701,"Urban Grocery",535,911
702,"Rural Transportation",619,544
703,"Urban Grocery",317,775
704,"Rural Transportation",789,823
705,"Rural Transportation",882,523
706,"Urban Grocery",127,217
707,"Urban Grocery",557,478
708,"Urban Grocery",536,14
709,"Rural Transportation",114,584
710,"Rural Transportation",108,601
711,"Rural Transportation",409,180
712,"Rural Transportation",936,118
713,"Rural Transportation",334,875
714,"Urban Grocery",533,343
715,"Urban Grocery",220,276
716,"Urban Grocery",456,445
717,"Rural Transportation",956,578
718,"Urban Grocery",864,276
719,"Urban Grocery",67,541
720,"Rural Transportation",655,342
721,"Rural Transportation",48,142
722,"Urban Grocery",957,777
723,"Urban Grocery",468,308
724,"Urban Grocery",867,693
725,"Rural Transportation",219,176
726,"Urban Grocery",113,408
727,"Urban Grocery",651,573
728,"Urban Grocery",858,674
729,"Urban Grocery",58,967
730,"Urban Grocery",805,181
731,"Rural Transportation",90,720
732,"Urban Grocery",242,760
733,"Rural Transportation",49,674
734,"Rural Transportation",285,380
735,"Rural Transportation",591,739
736,"Rural Transportation",173,647
737,"Urban Grocery",711,89
738,"Urban Grocery",912,445
739,"Urban Grocery",518,529
740,"Urban Grocery",383,673
741,"Rural Transportation",941,299
742,"Urban Grocery",781,149
743,"Rural Transportation",862,688
744,"Urban Grocery",182,134
745,"Rural Transportation",687,546
746,"Urban Grocery",448,678
747,"Rural Transportation",87,940
748,"Rural Transportation",863,886
749,"Rural Transportation",527,198
750,"Urban Grocery",545,656
751,"Rural Transportation",484,166
752,"Urban Grocery",931,947
753,"Urban Grocery",447,584
754,"Rural Transportation",894,676
755,"Urban Grocery",561,280
756,"Urban Grocery",170,868
757,"Rural Transportation",54,314
758,"Rural Transportation",940,589
759,"Urban Grocery",774,116
760,"Urban Grocery",972,916
761,"Urban Grocery",222,760
762,"Urban Grocery",30,341
763,"Urban Grocery",831,237
764,"Urban Grocery",763,628
765,"Rural Transportation",728,190
766,"Rural Transportation",146,657
767,"Urban Grocery",197,8
768,"Rural Transportation",538,521
769,"Urban Grocery",781,178
770,"Urban Grocery",396,264
771,"Urban Grocery",730,181
772,"Rural Transportation",968,101
773,"Urban Grocery",19,333
774,"Rural Transportation",970,135
775,"Urban Grocery",804,576
776,"Rural Transportation",799,295
777,"Rural Transportation",607,146
778,"Rural Transportation",750,940
779,"Urban Grocery",818,263
780,"Rural Transportation",765,244
781,"Rural Transportation",113,513
782,"Urban Grocery",837,733
783,"Rural Transportation",794,396
784,"Urban Grocery",744,950
785,"Rural Transportation",494,995
786,"Rural Transportation",963,751
787,"Urban Grocery",16,18
788,"Rural Transportation",663,926
789,"Urban Grocery",179,624
790,"Urban Grocery",588,317
791,"Urban Grocery",748,315
792,"Rural Transportation",574,373
793,"Urban Grocery",782,14
794,"Rural Transportation",503,91
795,"Urban Grocery",86,845
796,"Urban Grocery",173,162
797,"Rural Transportation",635,842
798,"Rural Transportation",903,925
799,"Urban Grocery",524,546
800,"Rural Transportation",269,451
801,"Rural Transportation",75,324
802,"Urban Grocery",831,80
803,"Rural Transportation",352,514
804,"Rural Transportation",7,717
805,"Rural Transportation",892,966
806,"Urban Grocery",822,614
807,"Rural Transportation",211,4
808,"Urban Grocery",539,175
809,"Urban Grocery",866,305
810,"Rural Transportation",539,500
811,"Urban Grocery",187,982
812,"Rural Transportation",903,253
813,"Urban Grocery",827,509
814,"Rural Transportation",867,352
815,"Rural Transportation",426,19
816,"Urban Grocery",537,144
817,"Urban Grocery",285,500
818,"Urban Grocery",686,321
819,"Rural Transportation",169,275
820,"Urban Grocery",759,104
821,"Urban Grocery",992,498
822,"Rural Transportation",518,132
823,"Rural Transportation",47,273
824,"Urban Grocery",970,605
825,"Rural Transportation",889,57
826,"Urban Grocery",491,949
827,"Rural Transportation",542,241
828,"Rural Transportation",630,320
829,"Urban Grocery",249,684
830,"Urban Grocery",614,864
831,"Rural Transportation",480,477
832,"Urban Grocery",471,352
833,"Urban Grocery",502,288
834,"Rural Transportation",647,951
835,"Rural Transportation",652,963
836,"Rural Transportation",91,192
837,"Urban Grocery",906,386
838,"Urban Grocery",933,663
839,"Rural Transportation",491,985
840,"Urban Grocery",189,350
841,"Urban Grocery",436,454
842,"Rural Transportation",183,304
843,"Rural Transportation",889,242
844,"Urban Grocery",832,742
845,"Urban Grocery",680,231
846,"Urban Grocery",132,292
847,"Rural Transportation",17,468
848,"Urban Grocery",91,233
849,"Urban Grocery",619,274
850,"Urban Grocery",435,87
851,"Rural Transportation",987,781
852,"Urban Grocery",402,968
853,"Urban Grocery",854,911
854,"Rural Transportation",401,886
855,"Rural Transportation",776,760
856,"Urban Grocery",759,173
857,"Urban Grocery",881,15
858,"Urban Grocery",444,265
859,"Rural Transportation",757,590
860,"Urban Grocery",223,819
861,"Rural Transportation",788,745
862,"Rural Transportation",46,812
863,"Urban Grocery",799,564
864,"Urban Grocery",706,14
865,"Urban Grocery",543,23
866,"Urban Grocery",480,697
867,"Rural Transportation",302,832
868,"Urban Grocery",694,996
869,"Rural Transportation",267,911
870,"Rural Transportation",227,22
871,"Urban Grocery",635,26
872,"Rural Transportation",563,877
873,"Urban Grocery",869,168
874,"Rural Transportation",42,555
875,"Urban Grocery",801,4
876,"Rural Transportation",557,447
877,"Rural Transportation",141,121
878,"Rural Transportation",382,507
879,"Rural Transportation",415,316
880,"Rural Transportation",390,886
881,"Rural Transportation",951,988
882,"Rural Transportation",856,277
883,"Urban Grocery",973,824
884,"Rural Transportation",321,949
885,"Urban Grocery",554,491
886,"Urban Grocery",659,243
887,"Urban Grocery",761,90
888,"Rural Transportation",461,300
889,"Rural Transportation",750,139
890,"Urban Grocery",851,611
891,"Rural Transportation",650,939
892,"Urban Grocery",94,417
893,"Rural Transportation",491,7
894,"Rural Transportation",430,413
895,"Urban Grocery",988,820
896,"Rural Transportation",342,268
897,"Rural Transportation",774,34
898,"Urban Grocery",577,259
899,"Rural Transportation",9,770
900,"Rural Transportation",594,259
901,"Urban Grocery",984,87
902,"Urban Grocery",731,736
903,"Rural Transportation",539,193
904,"Rural Transportation",674,751
905,"Urban Grocery",684,55
906,"Urban Grocery",934,581
907,"Rural Transportation",90,336
908,"Urban Grocery",419,242
909,"Rural Transportation",707,993
910,"Urban Grocery",939,717
911,"Urban Grocery",180,643
912,"Rural Transportation",406,187
913,"Urban Grocery",303,127
914,"Urban Grocery",114,992
915,"Rural Transportation",961,79
916,"Urban Grocery",103,724
917,"Urban Grocery",220,199
918,"Urban Grocery",528,775
919,"Rural Transportation",686,728
920,"Urban Grocery",862,80
921,"Rural Transportation",90,122
922,"Rural Transportation",760,253
923,"Urban Grocery",995,588
924,"Urban Grocery",752,992
925,"Urban Grocery",727,525
926,"Rural Transportation",124,251
927,"Rural Transportation",480,648
928,"Urban Grocery",59,598
929,"Urban Grocery",352,4
