"elderly_id","city","request_date","status","needs","request_id"
12,"Minneapolis",2025-02-22,"Completed","Home maintenance (minor repairs), Travel companionship, Educational programs, Tech support (computers, phones), Home safety assessments","R36"
13,"Canton",2025-03-09,"Pending","Senior center activities, Transportation to appointments, Volunteer coordination, Medication reminders (non-medical), Music and entertainment, Travel companionship, Tech support (computers, phones), Legal assistance referrals","R37"
13,"Canton",2025-02-21,"Completed","Senior center activities, Transportation to appointments, Volunteer coordination, Medication reminders (non-medical), Music and entertainment, Travel companionship, Tech support (computers, phones), Legal assistance referrals","R38"
13,"Canton",2025-03-13,"Pending","Senior center activities, Transportation to appointments, Volunteer coordination, Medication reminders (non-medical), Music and entertainment, Travel companionship, Tech support (computers, phones), Legal assistance referrals","R39"
14,"Clinton",2025-02-17,"Pending","Home maintenance (minor repairs), Home maintenance (minor repairs), Arts and crafts activities, Financial management assistance (budgeting)","R40"
14,"Clinton",2025-03-17,"Pending","Home maintenance (minor repairs), Home maintenance (minor repairs), Arts and crafts activities, Financial management assistance (budgeting)","R41"
14,"Clinton",2025-03-16,"Pending","Home maintenance (minor repairs), Home maintenance (minor repairs), Arts and crafts activities, Financial management assistance (budgeting)","R42"
15,"Aliso Viejo",2025-03-13,"Pending","Travel companionship, Assistive technology training, Grocery shopping, Walking/exercise assistance","R43"
15,"Aliso Viejo",2025-02-17,"Pending","Travel companionship, Assistive technology training, Grocery shopping, Walking/exercise assistance","R44"
15,"Aliso Viejo",2025-03-15,"Completed","Travel companionship, Assistive technology training, Grocery shopping, Walking/exercise assistance","R45"
16,"Princeton",2025-03-19,"Pending","Playing games (cards, board games), Accessibility modifications (home)","R46"
16,"Princeton",2025-03-08,"Pending","Playing games (cards, board games), Accessibility modifications (home)","R47"
16,"Princeton",2025-02-26,"Completed","Playing games (cards, board games), Accessibility modifications (home)","R48"
17,"Weston",2025-03-19,"Completed","Medication reminders (non-medical), Senior center activities, Walking/exercise assistance","R49"
17,"Weston",2025-03-17,"Completed","Medication reminders (non-medical), Senior center activities, Walking/exercise assistance","R50"
17,"Weston",2025-02-24,"Completed","Medication reminders (non-medical), Senior center activities, Walking/exercise assistance","R51"
18,"Duncan",2025-03-02,"Completed","Walking/exercise assistance, Grocery shopping, Mental wellness support (non-clinical), Grocery shopping","R52"
18,"Duncan",2025-02-24,"Pending","Walking/exercise assistance, Grocery shopping, Mental wellness support (non-clinical), Grocery shopping","R53"
18,"Duncan",2025-02-21,"Completed","Walking/exercise assistance, Grocery shopping, Mental wellness support (non-clinical), Grocery shopping","R54"
19,"Ragley",2025-03-19,"Completed","Errands (post office, dry cleaning), Cooking meals, Assistive technology training","R55"
19,"Ragley",2025-03-11,"Completed","Errands (post office, dry cleaning), Cooking meals, Assistive technology training","R56"
19,"Ragley",2025-02-18,"Completed","Errands (post office, dry cleaning), Cooking meals, Assistive technology training","R57"
20,"Cottage Grove",2025-02-28,"Completed","Accessibility modifications (home), Respite care (for family caregivers), Fall prevention assistance, Tech support (computers, phones), Senior center activities, Companionship (social activities)","R58"
20,"Cottage Grove",2025-03-05,"Completed","Accessibility modifications (home), Respite care (for family caregivers), Fall prevention assistance, Tech support (computers, phones), Senior center activities, Companionship (social activities)","R59"
20,"Cottage Grove",2025-02-18,"Completed","Accessibility modifications (home), Respite care (for family caregivers), Fall prevention assistance, Tech support (computers, phones), Senior center activities, Companionship (social activities)","R60"
21,"Cortland",2025-03-10,"Pending","Senior center activities, Errands (post office, dry cleaning), Arts and crafts activities, Senior center activities, Personal care (dressing, bathing - non-medical), Educational programs, Cooking meals, Mental wellness support (non-clinical), Travel companionship, Arts and crafts activities","R61"
21,"Cortland",2025-03-08,"Completed","Senior center activities, Errands (post office, dry cleaning), Arts and crafts activities, Senior center activities, Personal care (dressing, bathing - non-medical), Educational programs, Cooking meals, Mental wellness support (non-clinical), Travel companionship, Arts and crafts activities","R62"
21,"Cortland",2025-03-14,"Completed","Senior center activities, Errands (post office, dry cleaning), Arts and crafts activities, Senior center activities, Personal care (dressing, bathing - non-medical), Educational programs, Cooking meals, Mental wellness support (non-clinical), Travel companionship, Arts and crafts activities","R63"
22,"Lester",2025-02-20,"Pending","Home safety assessments, Gardening, Transportation to appointments, Senior center activities","R64"
22,"Lester",2025-02-18,"Completed","Home safety assessments, Gardening, Transportation to appointments, Senior center activities","R65"
22,"Lester",2025-03-04,"Completed","Home safety assessments, Gardening, Transportation to appointments, Senior center activities","R66"
23,"La Fontaine",2025-02-27,"Completed","Social event planning, Cooking meals, Respite care (for family caregivers), Cooking meals, Gardening, Housekeeping, Assistive technology training, Senior center activities, Music and entertainment","R67"
23,"La Fontaine",2025-03-13,"Completed","Social event planning, Cooking meals, Respite care (for family caregivers), Cooking meals, Gardening, Housekeeping, Assistive technology training, Senior center activities, Music and entertainment","R68"
23,"La Fontaine",2025-03-08,"Completed","Social event planning, Cooking meals, Respite care (for family caregivers), Cooking meals, Gardening, Housekeeping, Assistive technology training, Senior center activities, Music and entertainment","R69"
24,"Erie",2025-03-08,"Completed","Home safety assessments","R70"
24,"Erie",2025-03-02,"Pending","Home safety assessments","R71"
24,"Erie",2025-02-25,"Completed","Home safety assessments","R72"
25,"Montgomery",2025-03-12,"Pending","Playing games (cards, board games), Respite care (for family caregivers), Reading aloud (books, newspapers), Tech support (computers, phones), Educational programs, Home maintenance (minor repairs), Accessibility modifications (home), Companionship (social activities), Cooking meals","R73"
25,"Montgomery",2025-03-10,"Completed","Playing games (cards, board games), Respite care (for family caregivers), Reading aloud (books, newspapers), Tech support (computers, phones), Educational programs, Home maintenance (minor repairs), Accessibility modifications (home), Companionship (social activities), Cooking meals","R74"
25,"Montgomery",2025-03-01,"Pending","Playing games (cards, board games), Respite care (for family caregivers), Reading aloud (books, newspapers), Tech support (computers, phones), Educational programs, Home maintenance (minor repairs), Accessibility modifications (home), Companionship (social activities), Cooking meals","R75"
26,"San Diego",2025-03-10,"Pending","Medication reminders (non-medical), Reading aloud (books, newspapers)","R76"
26,"San Diego",2025-03-11,"Pending","Medication reminders (non-medical), Reading aloud (books, newspapers)","R77"
26,"San Diego",2025-02-27,"Pending","Medication reminders (non-medical), Reading aloud (books, newspapers)","R78"
27,"Virginia Beach",2025-03-13,"Pending","Arts and crafts activities, Errands (post office, dry cleaning), Pet care, Housekeeping, Senior center activities, Legal assistance referrals","R79"
27,"Virginia Beach",2025-02-26,"Pending","Arts and crafts activities, Errands (post office, dry cleaning), Pet care, Housekeeping, Senior center activities, Legal assistance referrals","R80"
27,"Virginia Beach",2025-03-10,"Completed","Arts and crafts activities, Errands (post office, dry cleaning), Pet care, Housekeeping, Senior center activities, Legal assistance referrals","R81"
28,"Toledo",2025-02-21,"Completed","Tech support (computers, phones), Mental wellness support (non-clinical), Assistive technology training, Volunteer coordination, Walking/exercise assistance, Assistive technology training","R82"
28,"Toledo",2025-03-05,"Pending","Tech support (computers, phones), Mental wellness support (non-clinical), Assistive technology training, Volunteer coordination, Walking/exercise assistance, Assistive technology training","R83"
28,"Toledo",2025-02-20,"Completed","Tech support (computers, phones), Mental wellness support (non-clinical), Assistive technology training, Volunteer coordination, Walking/exercise assistance, Assistive technology training","R84"
29,"Bushkill",2025-03-19,"Completed","Pet care, Housekeeping, Companionship (social activities)","R85"
29,"Bushkill",2025-03-11,"Completed","Pet care, Housekeeping, Companionship (social activities)","R86"
29,"Bushkill",2025-03-14,"Completed","Pet care, Housekeeping, Companionship (social activities)","R87"
30,"Wilsondale",2025-03-12,"Completed","Home maintenance (minor repairs), Respite care (for family caregivers), Personal care (dressing, bathing - non-medical), Tech support (computers, phones), Legal assistance referrals, Social event planning","R88"
30,"Wilsondale",2025-02-18,"Pending","Home maintenance (minor repairs), Respite care (for family caregivers), Personal care (dressing, bathing - non-medical), Tech support (computers, phones), Legal assistance referrals, Social event planning","R89"
30,"Wilsondale",2025-02-19,"Completed","Home maintenance (minor repairs), Respite care (for family caregivers), Personal care (dressing, bathing - non-medical), Tech support (computers, phones), Legal assistance referrals, Social event planning","R90"
31,"Santa Fe",2025-03-19,"Completed","Reading aloud (books, newspapers), Mental wellness support (non-clinical), Housekeeping, Volunteer coordination","R91"
31,"Santa Fe",2025-03-14,"Completed","Reading aloud (books, newspapers), Mental wellness support (non-clinical), Housekeeping, Volunteer coordination","R92"
31,"Santa Fe",2025-03-16,"Pending","Reading aloud (books, newspapers), Mental wellness support (non-clinical), Housekeeping, Volunteer coordination","R93"
32,"New York",2025-03-18,"Pending","Housekeeping, Home maintenance (minor repairs), Gardening, Fall prevention assistance, Travel companionship, Social event planning, Music and entertainment, Gardening","R94"
32,"New York",2025-03-12,"Completed","Housekeeping, Home maintenance (minor repairs), Gardening, Fall prevention assistance, Travel companionship, Social event planning, Music and entertainment, Gardening","R95"
32,"New York",2025-02-23,"Pending","Housekeeping, Home maintenance (minor repairs), Gardening, Fall prevention assistance, Travel companionship, Social event planning, Music and entertainment, Gardening","R96"
33,"Oakland",2025-03-10,"Completed","Volunteer coordination, Gardening, Home safety assessments, Financial management assistance (budgeting), Gardening, Personal care (dressing, bathing - non-medical), Cooking meals","R97"
33,"Oakland",2025-03-05,"Completed","Volunteer coordination, Gardening, Home safety assessments, Financial management assistance (budgeting), Gardening, Personal care (dressing, bathing - non-medical), Cooking meals","R98"
33,"Oakland",2025-03-08,"Pending","Volunteer coordination, Gardening, Home safety assessments, Financial management assistance (budgeting), Gardening, Personal care (dressing, bathing - non-medical), Cooking meals","R99"
34,"Anaheim",2025-03-02,"Completed","Playing games (cards, board games), Legal assistance referrals, Errands (post office, dry cleaning), Legal assistance referrals, Tech support (computers, phones), Home maintenance (minor repairs), Playing games (cards, board games), Errands (post office, dry cleaning), Assistive technology training, Reading aloud (books, newspapers)","R100"
34,"Anaheim",2025-02-17,"Completed","Playing games (cards, board games), Legal assistance referrals, Errands (post office, dry cleaning), Legal assistance referrals, Tech support (computers, phones), Home maintenance (minor repairs), Playing games (cards, board games), Errands (post office, dry cleaning), Assistive technology training, Reading aloud (books, newspapers)","R101"
34,"Anaheim",2025-02-20,"Pending","Playing games (cards, board games), Legal assistance referrals, Errands (post office, dry cleaning), Legal assistance referrals, Tech support (computers, phones), Home maintenance (minor repairs), Playing games (cards, board games), Errands (post office, dry cleaning), Assistive technology training, Reading aloud (books, newspapers)","R102"
35,"Bettsville",2025-03-15,"Completed","Music and entertainment, Travel companionship, Cooking meals, Companionship (social activities), Educational programs","R103"
35,"Bettsville",2025-03-06,"Pending","Music and entertainment, Travel companionship, Cooking meals, Companionship (social activities), Educational programs","R104"
35,"Bettsville",2025-03-02,"Pending","Music and entertainment, Travel companionship, Cooking meals, Companionship (social activities), Educational programs","R105"
36,"Baltimore",2025-03-13,"Pending","Social event planning, Personal care (dressing, bathing - non-medical), Legal assistance referrals, Financial management assistance (budgeting), Cooking meals","R106"
36,"Baltimore",2025-02-25,"Completed","Social event planning, Personal care (dressing, bathing - non-medical), Legal assistance referrals, Financial management assistance (budgeting), Cooking meals","R107"
36,"Baltimore",2025-03-14,"Completed","Social event planning, Personal care (dressing, bathing - non-medical), Legal assistance referrals, Financial management assistance (budgeting), Cooking meals","R108"
37,"Tahoka",2025-02-26,"Completed","Music and entertainment, Social event planning, Gardening, Home safety assessments, Senior center activities, Fall prevention assistance, Housekeeping, Housekeeping","R109"
37,"Tahoka",2025-03-13,"Completed","Music and entertainment, Social event planning, Gardening, Home safety assessments, Senior center activities, Fall prevention assistance, Housekeeping, Housekeeping","R110"
37,"Tahoka",2025-02-17,"Pending","Music and entertainment, Social event planning, Gardening, Home safety assessments, Senior center activities, Fall prevention assistance, Housekeeping, Housekeeping","R111"
38,"Farmington",2025-02-28,"Pending","Legal assistance referrals, Walking/exercise assistance, Social event planning, Educational programs, Legal assistance referrals","R112"
38,"Farmington",2025-02-21,"Pending","Legal assistance referrals, Walking/exercise assistance, Social event planning, Educational programs, Legal assistance referrals","R113"
38,"Farmington",2025-02-23,"Completed","Legal assistance referrals, Walking/exercise assistance, Social event planning, Educational programs, Legal assistance referrals","R114"
39,"Vega Baja",2025-03-06,"Pending","Walking/exercise assistance, Accessibility modifications (home), Transportation to appointments, Music and entertainment","R115"
39,"Vega Baja",2025-03-18,"Completed","Walking/exercise assistance, Accessibility modifications (home), Transportation to appointments, Music and entertainment","R116"
39,"Vega Baja",2025-03-16,"Completed","Walking/exercise assistance, Accessibility modifications (home), Transportation to appointments, Music and entertainment","R117"
40,"Hawkins",2025-02-23,"Completed","Fall prevention assistance, Arts and crafts activities, Transportation to appointments, Gardening","R118"
40,"Hawkins",2025-02-22,"Completed","Fall prevention assistance, Arts and crafts activities, Transportation to appointments, Gardening","R119"
40,"Hawkins",2025-03-11,"Completed","Fall prevention assistance, Arts and crafts activities, Transportation to appointments, Gardening","R120"
41,"Hollywood",2025-03-17,"Completed","Travel companionship, Volunteer coordination, Senior center activities, Fall prevention assistance, Home maintenance (minor repairs)","R121"
41,"Hollywood",2025-03-07,"Pending","Travel companionship, Volunteer coordination, Senior center activities, Fall prevention assistance, Home maintenance (minor repairs)","R122"
41,"Hollywood",2025-02-27,"Completed","Travel companionship, Volunteer coordination, Senior center activities, Fall prevention assistance, Home maintenance (minor repairs)","R123"
42,"Cincinnati",2025-03-15,"Completed","Pet care, Tech support (computers, phones), Legal assistance referrals","R124"
42,"Cincinnati",2025-02-27,"Completed","Pet care, Tech support (computers, phones), Legal assistance referrals","R125"
42,"Cincinnati",2025-03-08,"Completed","Pet care, Tech support (computers, phones), Legal assistance referrals","R126"
43,"Atlanta",2025-03-19,"Completed","Financial management assistance (budgeting), Social event planning, Financial management assistance (budgeting), Music and entertainment, Travel companionship, Senior center activities, Educational programs","R127"
43,"Atlanta",2025-03-10,"Completed","Financial management assistance (budgeting), Social event planning, Financial management assistance (budgeting), Music and entertainment, Travel companionship, Senior center activities, Educational programs","R128"
43,"Atlanta",2025-02-23,"Completed","Financial management assistance (budgeting), Social event planning, Financial management assistance (budgeting), Music and entertainment, Travel companionship, Senior center activities, Educational programs","R129"
44,"Boise",2025-02-17,"Completed","Social event planning, Home safety assessments, Social event planning","R130"
44,"Boise",2025-03-19,"Completed","Social event planning, Home safety assessments, Social event planning","R131"
44,"Boise",2025-03-17,"Completed","Social event planning, Home safety assessments, Social event planning","R132"
45,"Philadelphia",2025-03-16,"Completed","Accessibility modifications (home)","R133"
45,"Philadelphia",2025-02-27,"Pending","Accessibility modifications (home)","R134"
45,"Philadelphia",2025-03-09,"Pending","Accessibility modifications (home)","R135"
46,"Roby",2025-03-05,"Completed","Transportation to appointments, Assistive technology training, Pet care, Accessibility modifications (home), Legal assistance referrals, Arts and crafts activities","R136"
46,"Roby",2025-03-06,"Pending","Transportation to appointments, Assistive technology training, Pet care, Accessibility modifications (home), Legal assistance referrals, Arts and crafts activities","R137"
46,"Roby",2025-03-08,"Pending","Transportation to appointments, Assistive technology training, Pet care, Accessibility modifications (home), Legal assistance referrals, Arts and crafts activities","R138"
47,"Gilbert",2025-02-27,"Completed","Errands (post office, dry cleaning), Mental wellness support (non-clinical), Playing games (cards, board games), Arts and crafts activities, Reading aloud (books, newspapers), Legal assistance referrals, Assistive technology training, Medication reminders (non-medical)","R139"
47,"Gilbert",2025-03-15,"Completed","Errands (post office, dry cleaning), Mental wellness support (non-clinical), Playing games (cards, board games), Arts and crafts activities, Reading aloud (books, newspapers), Legal assistance referrals, Assistive technology training, Medication reminders (non-medical)","R140"
47,"Gilbert",2025-03-14,"Completed","Errands (post office, dry cleaning), Mental wellness support (non-clinical), Playing games (cards, board games), Arts and crafts activities, Reading aloud (books, newspapers), Legal assistance referrals, Assistive technology training, Medication reminders (non-medical)","R141"
48,"Cambridge",2025-03-17,"Completed","Assistive technology training, Reading aloud (books, newspapers), Medication reminders (non-medical), Arts and crafts activities, Accessibility modifications (home), Volunteer coordination, Legal assistance referrals, Volunteer coordination","R142"
48,"Cambridge",2025-02-25,"Pending","Assistive technology training, Reading aloud (books, newspapers), Medication reminders (non-medical), Arts and crafts activities, Accessibility modifications (home), Volunteer coordination, Legal assistance referrals, Volunteer coordination","R143"
48,"Cambridge",2025-03-06,"Completed","Assistive technology training, Reading aloud (books, newspapers), Medication reminders (non-medical), Arts and crafts activities, Accessibility modifications (home), Volunteer coordination, Legal assistance referrals, Volunteer coordination","R144"
49,"Winona",2025-02-17,"Completed","Volunteer coordination, Cooking meals, Tech support (computers, phones), Medication reminders (non-medical), Educational programs, Financial management assistance (budgeting), Personal care (dressing, bathing - non-medical), Gardening","R145"
49,"Winona",2025-02-24,"Pending","Volunteer coordination, Cooking meals, Tech support (computers, phones), Medication reminders (non-medical), Educational programs, Financial management assistance (budgeting), Personal care (dressing, bathing - non-medical), Gardening","R146"
49,"Winona",2025-02-25,"Pending","Volunteer coordination, Cooking meals, Tech support (computers, phones), Medication reminders (non-medical), Educational programs, Financial management assistance (budgeting), Personal care (dressing, bathing - non-medical), Gardening","R147"
50,"Arlington",2025-03-06,"Completed","Mental wellness support (non-clinical), Pet care, Home maintenance (minor repairs), Music and entertainment, Volunteer coordination, Cooking meals, Respite care (for family caregivers), Walking/exercise assistance, Arts and crafts activities","R148"
50,"Arlington",2025-03-10,"Completed","Mental wellness support (non-clinical), Pet care, Home maintenance (minor repairs), Music and entertainment, Volunteer coordination, Cooking meals, Respite care (for family caregivers), Walking/exercise assistance, Arts and crafts activities","R149"
50,"Arlington",2025-02-19,"Completed","Mental wellness support (non-clinical), Pet care, Home maintenance (minor repairs), Music and entertainment, Volunteer coordination, Cooking meals, Respite care (for family caregivers), Walking/exercise assistance, Arts and crafts activities","R150"
51,"Stratford",2025-02-19,"Completed","Travel companionship, Housekeeping, Pet care, Music and entertainment, Companionship (social activities), Home maintenance (minor repairs)","R151"
51,"Stratford",2025-03-02,"Completed","Travel companionship, Housekeeping, Pet care, Music and entertainment, Companionship (social activities), Home maintenance (minor repairs)","R152"
51,"Stratford",2025-02-26,"Completed","Travel companionship, Housekeeping, Pet care, Music and entertainment, Companionship (social activities), Home maintenance (minor repairs)","R153"
52,"Santa Maria",2025-02-23,"Completed","Errands (post office, dry cleaning), Mental wellness support (non-clinical), Housekeeping, Accessibility modifications (home), Assistive technology training, Personal care (dressing, bathing - non-medical), Gardening, Music and entertainment","R154"
52,"Santa Maria",2025-03-06,"Completed","Errands (post office, dry cleaning), Mental wellness support (non-clinical), Housekeeping, Accessibility modifications (home), Assistive technology training, Personal care (dressing, bathing - non-medical), Gardening, Music and entertainment","R155"
52,"Santa Maria",2025-03-07,"Completed","Errands (post office, dry cleaning), Mental wellness support (non-clinical), Housekeeping, Accessibility modifications (home), Assistive technology training, Personal care (dressing, bathing - non-medical), Gardening, Music and entertainment","R156"
53,"Moreno Valley",2025-03-10,"Pending","Errands (post office, dry cleaning), Companionship (social activities), Fall prevention assistance, Travel companionship, Social event planning","R157"
53,"Moreno Valley",2025-03-19,"Completed","Errands (post office, dry cleaning), Companionship (social activities), Fall prevention assistance, Travel companionship, Social event planning","R158"
53,"Moreno Valley",2025-03-18,"Pending","Errands (post office, dry cleaning), Companionship (social activities), Fall prevention assistance, Travel companionship, Social event planning","R159"
54,"Kelly",2025-02-25,"Completed","Gardening, Arts and crafts activities, Social event planning, Pet care","R160"
54,"Kelly",2025-03-05,"Completed","Gardening, Arts and crafts activities, Social event planning, Pet care","R161"
54,"Kelly",2025-03-04,"Completed","Gardening, Arts and crafts activities, Social event planning, Pet care","R162"
55,"Des Moines",2025-02-19,"Completed","Reading aloud (books, newspapers), Music and entertainment","R163"
55,"Des Moines",2025-03-16,"Completed","Reading aloud (books, newspapers), Music and entertainment","R164"
55,"Des Moines",2025-03-19,"Completed","Reading aloud (books, newspapers), Music and entertainment","R165"
56,"Hutchinson",2025-03-10,"Pending","Volunteer coordination, Home safety assessments, Accessibility modifications (home)","R166"
56,"Hutchinson",2025-02-24,"Completed","Volunteer coordination, Home safety assessments, Accessibility modifications (home)","R167"
56,"Hutchinson",2025-03-14,"Completed","Volunteer coordination, Home safety assessments, Accessibility modifications (home)","R168"
57,"Harbor Springs",2025-02-25,"Completed","Transportation to appointments, Arts and crafts activities, Gardening, Grocery shopping, Housekeeping, Assistive technology training, Assistive technology training, Volunteer coordination","R169"
57,"Harbor Springs",2025-03-12,"Completed","Transportation to appointments, Arts and crafts activities, Gardening, Grocery shopping, Housekeeping, Assistive technology training, Assistive technology training, Volunteer coordination","R170"
57,"Harbor Springs",2025-02-19,"Pending","Transportation to appointments, Arts and crafts activities, Gardening, Grocery shopping, Housekeeping, Assistive technology training, Assistive technology training, Volunteer coordination","R171"
58,"Meridian",2025-02-17,"Completed","Legal assistance referrals, Music and entertainment, Assistive technology training, Reading aloud (books, newspapers), Home maintenance (minor repairs), Fall prevention assistance, Mental wellness support (non-clinical), Volunteer coordination, Educational programs","R172"
58,"Meridian",2025-02-27,"Pending","Legal assistance referrals, Music and entertainment, Assistive technology training, Reading aloud (books, newspapers), Home maintenance (minor repairs), Fall prevention assistance, Mental wellness support (non-clinical), Volunteer coordination, Educational programs","R173"
58,"Meridian",2025-02-26,"Completed","Legal assistance referrals, Music and entertainment, Assistive technology training, Reading aloud (books, newspapers), Home maintenance (minor repairs), Fall prevention assistance, Mental wellness support (non-clinical), Volunteer coordination, Educational programs","R174"
59,"Douglas",2025-03-14,"Completed","Pet care","R175"
59,"Douglas",2025-03-01,"Pending","Pet care","R176"
59,"Douglas",2025-03-04,"Completed","Pet care","R177"
60,"South Point",2025-03-19,"Completed","Financial management assistance (budgeting), Accessibility modifications (home), Reading aloud (books, newspapers), Educational programs, Senior center activities, Tech support (computers, phones), Pet care","R178"
60,"South Point",2025-03-09,"Completed","Financial management assistance (budgeting), Accessibility modifications (home), Reading aloud (books, newspapers), Educational programs, Senior center activities, Tech support (computers, phones), Pet care","R179"
60,"South Point",2025-03-07,"Pending","Financial management assistance (budgeting), Accessibility modifications (home), Reading aloud (books, newspapers), Educational programs, Senior center activities, Tech support (computers, phones), Pet care","R180"
